full_text,Filtering,Case_Folding,Tokenizing,Stemming,Stopwords_Removal
Boundary nai aaya na kisi ucchi building pe chadh jayenge ab https://t.co/DyQkQFTn5p,Boundary nai aaya na kisi ucchi building pe chadh jayenge ab ,boundary nai aaya na kisi ucchi building pe chadh jayenge ab ,"['boundary', 'nai', 'aaya', 'na', 'kisi', 'ucchi', 'building', 'pe', 'chadh', 'jayenge', 'ab']","['boundary', 'nai', 'aaya', 'na', 'kisi', 'ucchi', 'building', 'pe', 'chadh', 'jayenge', 'ab']","['boundary', 'nai', 'aaya', 'na', 'kisi', 'ucchi', 'building', 'pe', 'chadh', 'jayenge', 'ab']"
@xendless_s Atau karna banyak pikiran dan kena insomnia berat! Like bruh banget nggak sih! Jadi apa? Gue Insomnia berat dari SD dan punya hubungan love hate relationship dengan tidur sekarang dituduh using drugs!? , Atau karna banyak pikiran dan kena insomnia berat Like bruh banget nggak sih Jadi apa Gue Insomnia berat dari SD dan punya hubungan love hate relationship dengan tidur sekarang dituduh using drugs , atau karna banyak pikiran dan kena insomnia berat like bruh banget nggak sih jadi apa gue insomnia berat dari sd dan punya hubungan love hate relationship dengan tidur sekarang dituduh using drugs ,"['atau', 'karna', 'banyak', 'pikiran', 'dan', 'kena', 'insomnia', 'berat', 'like', 'bruh', 'banget', 'nggak', 'sih', 'jadi', 'apa', 'gue', 'insomnia', 'berat', 'dari', 'sd', 'dan', 'punya', 'hubungan', 'love', 'hate', 'relationship', 'dengan', 'tidur', 'sekarang', 'dituduh', 'using', 'drugs']","['atau', 'karna', 'banyak', 'pikir', 'dan', 'kena', 'insomnia', 'berat', 'like', 'bruh', 'banget', 'nggak', 'sih', 'jadi', 'apa', 'gue', 'insomnia', 'berat', 'dari', 'sd', 'dan', 'punya', 'hubung', 'love', 'hate', 'relationship', 'dengan', 'tidur', 'sekarang', 'tuduh', 'using', 'drugs']","['karna', 'pikir', 'kena', 'insomnia', 'berat', 'like', 'bruh', 'banget', 'nggak', 'sih', 'gue', 'insomnia', 'berat', 'sd', 'hubung', 'love', 'hate', 'relationship', 'tidur', 'tuduh', 'using', 'drugs']"
Gak setiap insomnia bisa diselesaikan dengan coli kan?,Gak setiap insomnia bisa diselesaikan dengan coli kan,gak setiap insomnia bisa diselesaikan dengan coli kan,"['gak', 'setiap', 'insomnia', 'bisa', 'diselesaikan', 'dengan', 'coli', 'kan']","['gak', 'tiap', 'insomnia', 'bisa', 'selesai', 'dengan', 'coli', 'kan']","['gak', 'insomnia', 'selesai', 'coli']"
@kirikkurbaacagi Harika :), Harika , harika ,['harika'],['harika'],['harika']
inget besok ada jam pagi tapi insomnia masalahnya,inget besok ada jam pagi tapi insomnia masalahnya,inget besok ada jam pagi tapi insomnia masalahnya,"['inget', 'besok', 'ada', 'jam', 'pagi', 'tapi', 'insomnia', 'masalahnya']","['inget', 'besok', 'ada', 'jam', 'pagi', 'tapi', 'insomnia', 'masalah']","['inget', 'besok', 'jam', 'pagi', 'insomnia']"
mulai insomnia lagi,mulai insomnia lagi,mulai insomnia lagi,"['mulai', 'insomnia', 'lagi']","['mulai', 'insomnia', 'lagi']",['insomnia']
@xendless_s BNN belajar lagii yaa saya mempelajari narkotika dan semua itu gabisa diukur semudah dan sebatas itu saja yaa. Seseorang aktif pada malam hari dan susah tidur itu bisa jadi gejala insomnia dan gangguan kepribadian kek kecemasan depresi dll. Kedua bisa jadi karena dia kerja-, BNN belajar lagii yaa saya mempelajari narkotika dan semua itu gabisa diukur semudah dan sebatas itu saja yaa Seseorang aktif pada malam hari dan susah tidur itu bisa jadi gejala insomnia dan gangguan kepribadian kek kecemasan depresi dll Kedua bisa jadi karena dia kerja, bnn belajar lagii yaa saya mempelajari narkotika dan semua itu gabisa diukur semudah dan sebatas itu saja yaa seseorang aktif pada malam hari dan susah tidur itu bisa jadi gejala insomnia dan gangguan kepribadian kek kecemasan depresi dll kedua bisa jadi karena dia kerja,"['bnn', 'belajar', 'lagii', 'yaa', 'saya', 'mempelajari', 'narkotika', 'dan', 'semua', 'itu', 'gabisa', 'diukur', 'semudah', 'dan', 'sebatas', 'itu', 'saja', 'yaa', 'seseorang', 'aktif', 'pada', 'malam', 'hari', 'dan', 'susah', 'tidur', 'itu', 'bisa', 'jadi', 'gejala', 'insomnia', 'dan', 'gangguan', 'kepribadian', 'kek', 'kecemasan', 'depresi', 'dll', 'kedua', 'bisa', 'jadi', 'karena', 'dia', 'kerja']","['bnn', 'ajar', 'lagi', 'yaa', 'saya', 'ajar', 'narkotika', 'dan', 'semua', 'itu', 'gabisa', 'ukur', 'mudah', 'dan', 'batas', 'itu', 'saja', 'yaa', 'orang', 'aktif', 'pada', 'malam', 'hari', 'dan', 'susah', 'tidur', 'itu', 'bisa', 'jadi', 'gejala', 'insomnia', 'dan', 'ganggu', 'pribadi', 'kek', 'cemas', 'depresi', 'dll', 'dua', 'bisa', 'jadi', 'karena', 'dia', 'kerja']","['bnn', 'ajar', 'yaa', 'ajar', 'narkotika', 'gabisa', 'ukur', 'mudah', 'batas', 'yaa', 'orang', 'aktif', 'malam', 'susah', 'tidur', 'gejala', 'insomnia', 'ganggu', 'pribadi', 'kek', 'cemas', 'depresi', 'dll', 'kerja']"
Insomnia akhirnya play ini https://t.co/NnRNTvRmQb,Insomnia akhirnya play ini ,insomnia akhirnya play ini ,"['insomnia', 'akhirnya', 'play', 'ini']","['insomnia', 'akhir', 'play', 'ini']","['insomnia', 'play']"
@xendless_s Gatau yg namanya insomnia? Ga liat banyak yang kerja cari nafkah buat keluarga meskipun harus kerja malem? Kena shift ngojol jd sopir muatan barang? Goblog, Gatau yg namanya insomnia Ga liat banyak yang kerja cari nafkah buat keluarga meskipun harus kerja malem Kena shift ngojol jd sopir muatan barang Goblog, gatau yg namanya insomnia ga liat banyak yang kerja cari nafkah buat keluarga meskipun harus kerja malem kena shift ngojol jd sopir muatan barang goblog,"['gatau', 'yg', 'namanya', 'insomnia', 'ga', 'liat', 'banyak', 'yang', 'kerja', 'cari', 'nafkah', 'buat', 'keluarga', 'meskipun', 'harus', 'kerja', 'malem', 'kena', 'shift', 'ngojol', 'jd', 'sopir', 'muatan', 'barang', 'goblog']","['gatau', 'yg', 'nama', 'insomnia', 'ga', 'liat', 'banyak', 'yang', 'kerja', 'cari', 'nafkah', 'buat', 'keluarga', 'meski', 'harus', 'kerja', 'malem', 'kena', 'shift', 'ngojol', 'jd', 'sopir', 'muat', 'barang', 'goblog']","['gatau', 'yg', 'nama', 'insomnia', 'ga', 'liat', 'kerja', 'cari', 'nafkah', 'keluarga', 'kerja', 'malem', 'kena', 'shift', 'ngojol', 'jd', 'sopir', 'muat', 'barang', 'goblog']"
pengen aju nice lagihhh PCD never ending saga wlpn kena brain fog short term memory loss pas kongser sebong msh ngumpulin puzzle yg kelupaan gara² 1 mingguan kena insomnia parahh cuma tidur 2-3 jam doankk untungnya gak tumbang ,pengen aju nice lagihhh PCD never ending saga wlpn kena brain fog short term memory loss pas kongser sebong msh ngumpulin puzzle yg kelupaan gara²  mingguan kena insomnia parahh cuma tidur  jam doankk untungnya gak tumbang ,pengen aju nice lagihhh pcd never ending saga wlpn kena brain fog short term memory loss pas kongser sebong msh ngumpulin puzzle yg kelupaan gara²  mingguan kena insomnia parahh cuma tidur  jam doankk untungnya gak tumbang ,"['pengen', 'aju', 'nice', 'lagihhh', 'pcd', 'never', 'ending', 'saga', 'wlpn', 'kena', 'brain', 'fog', 'short', 'term', 'memory', 'loss', 'pas', 'kongser', 'sebong', 'msh', 'ngumpulin', 'puzzle', 'yg', 'kelupaan', 'gara²', 'mingguan', 'kena', 'insomnia', 'parahh', 'cuma', 'tidur', 'jam', 'doankk', 'untungnya', 'gak', 'tumbang']","['ken', 'aju', 'nice', 'lagihhh', 'pcd', 'never', 'ending', 'saga', 'wlpn', 'kena', 'brain', 'fog', 'short', 'term', 'memory', 'loss', 'pas', 'kongser', 'bong', 'msh', 'ngumpulin', 'puzzle', 'yg', 'lupa', 'gara', 'minggu', 'kena', 'insomnia', 'parahh', 'cuma', 'tidur', 'jam', 'doankk', 'untung', 'gak', 'tumbang']","['ken', 'aju', 'nice', 'lagihhh', 'pcd', 'never', 'ending', 'saga', 'wlpn', 'kena', 'brain', 'fog', 'short', 'term', 'memory', 'loss', 'pas', 'kongser', 'bong', 'msh', 'ngumpulin', 'puzzle', 'yg', 'lupa', 'gara', 'minggu', 'kena', 'insomnia', 'parahh', 'tidur', 'jam', 'doankk', 'untung', 'gak', 'tumbang']"
Semoga ramai malam ini #kemangraya https://t.co/ZzuMatbXMR,Semoga ramai malam ini  ,semoga ramai malam ini  ,"['semoga', 'ramai', 'malam', 'ini']","['moga', 'ramai', 'malam', 'ini']","['moga', 'ramai', 'malam']"
demi alek pls insomnia di album solo kedua u seng pls bgt inimah,demi alek pls insomnia di album solo kedua u seng pls bgt inimah,demi alek pls insomnia di album solo kedua u seng pls bgt inimah,"['demi', 'alek', 'pls', 'insomnia', 'di', 'album', 'solo', 'kedua', 'u', 'seng', 'pls', 'bgt', 'inimah']","['demi', 'alek', 'pls', 'insomnia', 'di', 'album', 'solo', 'dua', 'u', 'seng', 'pls', 'bgt', 'inimah']","['alek', 'pls', 'insomnia', 'album', 'solo', 'u', 'seng', 'pls', 'bgt', 'inimah']"
@kyungmiaw @Jihvoon @twsyoungjaee akaoakaoak kocakkk.. insomnia dia,   akaoakaoak kocakkk insomnia dia,   akaoakaoak kocakkk insomnia dia,"['akaoakaoak', 'kocakkk', 'insomnia', 'dia']","['akaoakaoak', 'kocakkk', 'insomnia', 'dia']","['akaoakaoak', 'kocakkk', 'insomnia']"
@ilhampurnama887 Malam mencekam Semakin malam semakin mencekam Insomnia 7 hari 7 malam, Malam mencekam Semakin malam semakin mencekam Insomnia  hari  malam, malam mencekam semakin malam semakin mencekam insomnia  hari  malam,"['malam', 'mencekam', 'semakin', 'malam', 'semakin', 'mencekam', 'insomnia', 'hari', 'malam']","['malam', 'cekam', 'makin', 'malam', 'makin', 'cekam', 'insomnia', 'hari', 'malam']","['malam', 'cekam', 'malam', 'cekam', 'insomnia', 'malam']"
Insomnia ho gaya hai,Insomnia ho gaya hai,insomnia ho gaya hai,"['insomnia', 'ho', 'gaya', 'hai']","['insomnia', 'ho', 'gaya', 'hai']","['insomnia', 'ho', 'gaya', 'hai']"
@insomnia_0201 @thisismaytryin IKIK,  IKIK,  ikik,['ikik'],['ikik'],['ikik']
Hari minggu seorang ojol https://t.co/HyTvuAXIBU,Hari minggu seorang ojol ,hari minggu seorang ojol ,"['hari', 'minggu', 'seorang', 'ojol']","['hari', 'minggu', 'orang', 'ojol']","['minggu', 'orang', 'ojol']"
@imajinasop Gemanin bacaan aku pertama kali kenal km dan pettama kali juga aku ngumpat tiap kali baca wkwkwkw .. jadi inget dlu waktu insomnia parah baca gemanin malah sakit kepala , Gemanin bacaan aku pertama kali kenal km dan pettama kali juga aku ngumpat tiap kali baca wkwkwkw  jadi inget dlu waktu insomnia parah baca gemanin malah sakit kepala , gemanin bacaan aku pertama kali kenal km dan pettama kali juga aku ngumpat tiap kali baca wkwkwkw  jadi inget dlu waktu insomnia parah baca gemanin malah sakit kepala ,"['gemanin', 'bacaan', 'aku', 'pertama', 'kali', 'kenal', 'km', 'dan', 'pettama', 'kali', 'juga', 'aku', 'ngumpat', 'tiap', 'kali', 'baca', 'wkwkwkw', 'jadi', 'inget', 'dlu', 'waktu', 'insomnia', 'parah', 'baca', 'gemanin', 'malah', 'sakit', 'kepala']","['gemanin', 'baca', 'aku', 'pertama', 'kali', 'kenal', 'km', 'dan', 'pettama', 'kali', 'juga', 'aku', 'ngumpat', 'tiap', 'kali', 'baca', 'wkwkwkw', 'jadi', 'inget', 'dlu', 'waktu', 'insomnia', 'parah', 'baca', 'gemanin', 'malah', 'sakit', 'kepala']","['gemanin', 'baca', 'kali', 'kenal', 'km', 'pettama', 'kali', 'ngumpat', 'kali', 'baca', 'wkwkwkw', 'inget', 'dlu', 'insomnia', 'parah', 'baca', 'gemanin', 'sakit', 'kepala']"
Na drustilo pk eppatikii secular eh,Na drustilo pk eppatikii secular eh,na drustilo pk eppatikii secular eh,"['na', 'drustilo', 'pk', 'eppatikii', 'secular', 'eh']","['na', 'drustilo', 'pk', 'eppatikii', 'secular', 'eh']","['na', 'drustilo', 'pk', 'eppatikii', 'secular', 'eh']"
@bencijadiwni @FOOD_FESS gue aja udah insomnia ga bakal gue cobain,  gue aja udah insomnia ga bakal gue cobain,  gue aja udah insomnia ga bakal gue cobain,"['gue', 'aja', 'udah', 'insomnia', 'ga', 'bakal', 'gue', 'cobain']","['gue', 'aja', 'udah', 'insomnia', 'ga', 'bakal', 'gue', 'cobain']","['gue', 'aja', 'udah', 'insomnia', 'ga', 'gue', 'cobain']"
Katamarayudu ,Katamarayudu ,katamarayudu ,['katamarayudu'],['katamarayudu'],['katamarayudu']
@ppiggggggyyy What is murukuu , What is murukuu , what is murukuu ,"['what', 'is', 'murukuu']","['what', 'is', 'murukuu']","['what', 'is', 'murukuu']"
@bchrulm Sisa yang kuning XL, Sisa yang kuning XL, sisa yang kuning xl,"['sisa', 'yang', 'kuning', 'xl']","['sisa', 'yang', 'kuning', 'xl']","['sisa', 'kuning', 'xl']"
sekarang kerja bagian malem. tapi gw nya ngantuk. berangkat jangan ya.,sekarang kerja bagian malem tapi gw nya ngantuk berangkat jangan ya,sekarang kerja bagian malem tapi gw nya ngantuk berangkat jangan ya,"['sekarang', 'kerja', 'bagian', 'malem', 'tapi', 'gw', 'nya', 'ngantuk', 'berangkat', 'jangan', 'ya']","['sekarang', 'kerja', 'bagi', 'malem', 'tapi', 'gw', 'nya', 'ngantuk', 'berangkat', 'jangan', 'ya']","['kerja', 'malem', 'gw', 'nya', 'ngantuk', 'berangkat', 'ya']"
@sung_hanbeen padahal b side nya enak loh kaya doctor doctor insomnia take my hand and i , padahal b side nya enak loh kaya doctor doctor insomnia take my hand and i , padahal b side nya enak loh kaya doctor doctor insomnia take my hand and i ,"['padahal', 'b', 'side', 'nya', 'enak', 'loh', 'kaya', 'doctor', 'doctor', 'insomnia', 'take', 'my', 'hand', 'and', 'i']","['padahal', 'b', 'side', 'nya', 'enak', 'loh', 'kaya', 'doctor', 'doctor', 'insomnia', 'take', 'my', 'hand', 'and', 'i']","['b', 'side', 'nya', 'enak', 'loh', 'kaya', 'doctor', 'doctor', 'insomnia', 'take', 'my', 'hand', 'and', 'i']"
@adit_insomnia size nya ?, size nya , size nya ,"['size', 'nya']","['size', 'nya']","['size', 'nya']"
@adit_insomnia september s nya apa ? si emyu kalah lagi, september s nya apa  si emyu kalah lagi, september s nya apa  si emyu kalah lagi,"['september', 's', 'nya', 'apa', 'si', 'emyu', 'kalah', 'lagi']","['september', 's', 'nya', 'apa', 'si', 'emyu', 'kalah', 'lagi']","['september', 's', 'nya', 'si', 'emyu', 'kalah']"
pakan singa.,pakan singa,pakan singa,"['pakan', 'singa']","['pakan', 'singa']","['pakan', 'singa']"
@moviemnfs Stellan dari film Insomnia, Stellan dari film Insomnia, stellan dari film insomnia,"['stellan', 'dari', 'film', 'insomnia']","['stellan', 'dari', 'film', 'insomnia']","['stellan', 'film', 'insomnia']"
7.9/10 insomnia after school nyaman aja nontonnya romance ringan yang jalan ceritanya lambat https://t.co/m5wHrNjL6K, insomnia after school nyaman aja nontonnya romance ringan yang jalan ceritanya lambat , insomnia after school nyaman aja nontonnya romance ringan yang jalan ceritanya lambat ,"['insomnia', 'after', 'school', 'nyaman', 'aja', 'nontonnya', 'romance', 'ringan', 'yang', 'jalan', 'ceritanya', 'lambat']","['insomnia', 'after', 'school', 'nyaman', 'aja', 'nontonnya', 'romance', 'ringan', 'yang', 'jalan', 'cerita', 'lambat']","['insomnia', 'after', 'school', 'nyaman', 'aja', 'nontonnya', 'romance', 'ringan', 'jalan', 'cerita', 'lambat']"
IH TAPI INSOMNIA JUGA BAGUSSS!!!!,IH TAPI INSOMNIA JUGA BAGUSSS,ih tapi insomnia juga bagusss,"['ih', 'tapi', 'insomnia', 'juga', 'bagusss']","['ih', 'tapi', 'insomnia', 'juga', 'bagusss']","['ih', 'insomnia', 'bagusss']"
kelebihan informasi ga bagus juga kadang jadi pedang bermata 2. ngerusak mental.,kelebihan informasi ga bagus juga kadang jadi pedang bermata  ngerusak mental,kelebihan informasi ga bagus juga kadang jadi pedang bermata  ngerusak mental,"['kelebihan', 'informasi', 'ga', 'bagus', 'juga', 'kadang', 'jadi', 'pedang', 'bermata', 'ngerusak', 'mental']","['lebih', 'informasi', 'ga', 'bagus', 'juga', 'kadang', 'jadi', 'pedang', 'mata', 'ngerusak', 'mental']","['informasi', 'ga', 'bagus', 'kadang', 'pedang', 'mata', 'ngerusak', 'mental']"
[PAKET INSOMNIA] 3 Botol Fitmeup Varian Relax - Atasi Insomnia - Tidur Pulas - Bikin Badan Relax https://t.co/opjFWsqq78,PAKET INSOMNIA  Botol Fitmeup Varian Relax  Atasi Insomnia  Tidur Pulas  Bikin Badan Relax ,paket insomnia  botol fitmeup varian relax  atasi insomnia  tidur pulas  bikin badan relax ,"['paket', 'insomnia', 'botol', 'fitmeup', 'varian', 'relax', 'atasi', 'insomnia', 'tidur', 'pulas', 'bikin', 'badan', 'relax']","['paket', 'insomnia', 'botol', 'fitmeup', 'varian', 'relax', 'atas', 'insomnia', 'tidur', 'pulas', 'bikin', 'badan', 'relax']","['paket', 'insomnia', 'botol', 'fitmeup', 'varian', 'relax', 'insomnia', 'tidur', 'pulas', 'bikin', 'badan', 'relax']"
serba serbi hidup di konoha. ada aja terobosannya. melarang tapi gak ngasih solusi. babi2 istana ini digaji cuma buat nyusahin. mana kegedean pula gajinya.,serba serbi hidup di konoha ada aja terobosannya melarang tapi gak ngasih solusi babi istana ini digaji cuma buat nyusahin mana kegedean pula gajinya,serba serbi hidup di konoha ada aja terobosannya melarang tapi gak ngasih solusi babi istana ini digaji cuma buat nyusahin mana kegedean pula gajinya,"['serba', 'serbi', 'hidup', 'di', 'konoha', 'ada', 'aja', 'terobosannya', 'melarang', 'tapi', 'gak', 'ngasih', 'solusi', 'babi', 'istana', 'ini', 'digaji', 'cuma', 'buat', 'nyusahin', 'mana', 'kegedean', 'pula', 'gajinya']","['serba', 'serbi', 'hidup', 'di', 'konoha', 'ada', 'aja', 'terobos', 'larang', 'tapi', 'gak', 'ngasih', 'solusi', 'babi', 'istana', 'ini', 'gaji', 'cuma', 'buat', 'nyusahin', 'mana', 'gede', 'pula', 'gaji']","['serba', 'serbi', 'hidup', 'konoha', 'aja', 'terobos', 'larang', 'gak', 'ngasih', 'solusi', 'babi', 'istana', 'gaji', 'nyusahin', 'gede', 'gaji']"
@Ex_insomnia Kan ini dipake jadi lauk makan yg gak ada bergizi nya untuk bumil, Kan ini dipake jadi lauk makan yg gak ada bergizi nya untuk bumil, kan ini dipake jadi lauk makan yg gak ada bergizi nya untuk bumil,"['kan', 'ini', 'dipake', 'jadi', 'lauk', 'makan', 'yg', 'gak', 'ada', 'bergizi', 'nya', 'untuk', 'bumil']","['kan', 'ini', 'dipake', 'jadi', 'lauk', 'makan', 'yg', 'gak', 'ada', 'gizi', 'nya', 'untuk', 'bumil']","['dipake', 'lauk', 'makan', 'yg', 'gak', 'gizi', 'nya', 'bumil']"
5 Potret Keseruan Tyara Renata dan Surya Insomnia Liburan Renang hingga Motoran Bareng Anak https://t.co/xbATYbAewr, Potret Keseruan Tyara Renata dan Surya Insomnia Liburan Renang hingga Motoran Bareng Anak , potret keseruan tyara renata dan surya insomnia liburan renang hingga motoran bareng anak ,"['potret', 'keseruan', 'tyara', 'renata', 'dan', 'surya', 'insomnia', 'liburan', 'renang', 'hingga', 'motoran', 'bareng', 'anak']","['potret', 'seru', 'tyara', 'renata', 'dan', 'surya', 'insomnia', 'libur', 'renang', 'hingga', 'motor', 'bareng', 'anak']","['potret', 'seru', 'tyara', 'renata', 'surya', 'insomnia', 'libur', 'renang', 'motor', 'bareng', 'anak']"
@BlueHooligan___ anjir garede ambek bobotoh mah , anjir garede ambek bobotoh mah , anjir garede ambek bobotoh mah ,"['anjir', 'garede', 'ambek', 'bobotoh', 'mah']","['anjir', 'garede', 'ambek', 'bobotoh', 'mah']","['anjir', 'garede', 'ambek', 'bobotoh', 'mah']"
@blessedorbit 10 rebu uang sekali jajan aku beli keripik2an d warung.,  rebu uang sekali jajan aku beli keripikan d warung,  rebu uang sekali jajan aku beli keripikan d warung,"['rebu', 'uang', 'sekali', 'jajan', 'aku', 'beli', 'keripikan', 'd', 'warung']","['rebu', 'uang', 'sekali', 'jajan', 'aku', 'beli', 'keripikan', 'd', 'warung']","['rebu', 'uang', 'jajan', 'beli', 'keripikan', 'd', 'warung']"
@phi1dunphy @insomnia_clips @hikaripulse @roblox_fess combo body bayi TAPI dandanan biduan bukan bayi doang. kalo body bayi dan dadanan imut/bayi juga ya senada. ga ada yang komenin itu. -1 reading comprehension.,    combo body bayi TAPI dandanan biduan bukan bayi doang kalo body bayi dan dadanan imutbayi juga ya senada ga ada yang komenin itu  reading comprehension,    combo body bayi tapi dandanan biduan bukan bayi doang kalo body bayi dan dadanan imutbayi juga ya senada ga ada yang komenin itu  reading comprehension,"['combo', 'body', 'bayi', 'tapi', 'dandanan', 'biduan', 'bukan', 'bayi', 'doang', 'kalo', 'body', 'bayi', 'dan', 'dadanan', 'imutbayi', 'juga', 'ya', 'senada', 'ga', 'ada', 'yang', 'komenin', 'itu', 'reading', 'comprehension']","['combo', 'body', 'bayi', 'tapi', 'dandan', 'biduan', 'bukan', 'bayi', 'doang', 'kalo', 'body', 'bayi', 'dan', 'dadanan', 'imutbayi', 'juga', 'ya', 'nada', 'ga', 'ada', 'yang', 'komenin', 'itu', 'reading', 'comprehension']","['combo', 'body', 'bayi', 'dandan', 'biduan', 'bayi', 'doang', 'kalo', 'body', 'bayi', 'dadanan', 'imutbayi', 'ya', 'nada', 'ga', 'komenin', 'reading', 'comprehension']"
gw gak mau nipu diri gw sendiri.,gw gak mau nipu diri gw sendiri,gw gak mau nipu diri gw sendiri,"['gw', 'gak', 'mau', 'nipu', 'diri', 'gw', 'sendiri']","['gw', 'gak', 'mau', 'nipu', 'diri', 'gw', 'sendiri']","['gw', 'gak', 'nipu', 'gw']"
Solusi Insomnia Susah Tidur Meningkatkan Kualitas Tidur. Permen jeli harga Rp69.999. https://t.co/SkJn49qGWn https://t.co/O5kS6tTpz4,Solusi Insomnia Susah Tidur Meningkatkan Kualitas Tidur Permen jeli harga Rp  ,solusi insomnia susah tidur meningkatkan kualitas tidur permen jeli harga rp  ,"['solusi', 'insomnia', 'susah', 'tidur', 'meningkatkan', 'kualitas', 'tidur', 'permen', 'jeli', 'harga', 'rp']","['solusi', 'insomnia', 'susah', 'tidur', 'tingkat', 'kualitas', 'tidur', 'permen', 'jeli', 'harga', 'rp']","['solusi', 'insomnia', 'susah', 'tidur', 'tingkat', 'kualitas', 'tidur', 'permen', 'jeli', 'harga', 'rp']"
@Amiwithbts7 Mere ghar, Mere ghar, mere ghar,"['mere', 'ghar']","['mere', 'ghar']","['mere', 'ghar']"
Di jual rumah di Jeruk Purut Jakarta Selatan Spesifikasi rumah : Luas tanah : 1.111 m² Luas bangunan : 348 m² Kamar utama : 3 Kamar art : 2 Kamar mandi : 3 Dapur : 2 Ruang tamu : 1 Ruang keluarga : 1 Ruang makan : 1 Parkir mobil Listrik : 7.700 Watt Air sumur pompa. https://t.co/h1kPF7G7Lg,Di jual rumah di Jeruk Purut Jakarta Selatan Spesifikasi rumah  Luas tanah   m² Luas bangunan   m² Kamar utama   Kamar art   Kamar mandi   Dapur   Ruang tamu   Ruang keluarga   Ruang makan   Parkir mobil Listrik   Watt Air sumur pompa ,di jual rumah di jeruk purut jakarta selatan spesifikasi rumah  luas tanah   m² luas bangunan   m² kamar utama   kamar art   kamar mandi   dapur   ruang tamu   ruang keluarga   ruang makan   parkir mobil listrik   watt air sumur pompa ,"['di', 'jual', 'rumah', 'di', 'jeruk', 'purut', 'jakarta', 'selatan', 'spesifikasi', 'rumah', 'luas', 'tanah', 'm²', 'luas', 'bangunan', 'm²', 'kamar', 'utama', 'kamar', 'art', 'kamar', 'mandi', 'dapur', 'ruang', 'tamu', 'ruang', 'keluarga', 'ruang', 'makan', 'parkir', 'mobil', 'listrik', 'watt', 'air', 'sumur', 'pompa']","['di', 'jual', 'rumah', 'di', 'jeruk', 'purut', 'jakarta', 'selatan', 'spesifikasi', 'rumah', 'luas', 'tanah', 'm', 'luas', 'bangun', 'm', 'kamar', 'utama', 'kamar', 'art', 'kamar', 'mandi', 'dapur', 'ruang', 'tamu', 'ruang', 'keluarga', 'ruang', 'makan', 'parkir', 'mobil', 'listrik', 'watt', 'air', 'sumur', 'pompa']","['jual', 'rumah', 'jeruk', 'purut', 'jakarta', 'selatan', 'spesifikasi', 'rumah', 'luas', 'tanah', 'm', 'luas', 'bangun', 'm', 'kamar', 'utama', 'kamar', 'art', 'kamar', 'mandi', 'dapur', 'ruang', 'tamu', 'ruang', 'keluarga', 'ruang', 'makan', 'parkir', 'mobil', 'listrik', 'watt', 'air', 'sumur', 'pompa']"
@Ex_insomnia aman berarti ya ok deh, aman berarti ya ok deh, aman berarti ya ok deh,"['aman', 'berarti', 'ya', 'ok', 'deh']","['aman', 'arti', 'ya', 'ok', 'deh']","['aman', 'arti', 'ya', 'ok', 'deh']"
@znvnnie Siang, Siang, siang,['siang'],['siang'],['siang']
@berrybluszh mendung doang, mendung doang, mendung doang,"['mendung', 'doang']","['mendung', 'doang']","['mendung', 'doang']"
kok dana gak bisa ngirim ke shoope pay ya ?,kok dana gak bisa ngirim ke shoope pay ya ,kok dana gak bisa ngirim ke shoope pay ya ,"['kok', 'dana', 'gak', 'bisa', 'ngirim', 'ke', 'shoope', 'pay', 'ya']","['kok', 'dana', 'gak', 'bisa', 'ngirim', 'ke', 'shoope', 'pay', 'ya']","['dana', 'gak', 'ngirim', 'shoope', 'pay', 'ya']"
@aiakakiaki Weh spill aku yg punya insomnia ini need it, Weh spill aku yg punya insomnia ini need it, weh spill aku yg punya insomnia ini need it,"['weh', 'spill', 'aku', 'yg', 'punya', 'insomnia', 'ini', 'need', 'it']","['weh', 'spill', 'aku', 'yg', 'punya', 'insomnia', 'ini', 'need', 'it']","['weh', 'spill', 'yg', 'insomnia', 'need', 'it']"
Amorim cocok sih jadi pejabat di Indonesia.,Amorim cocok sih jadi pejabat di Indonesia,amorim cocok sih jadi pejabat di indonesia,"['amorim', 'cocok', 'sih', 'jadi', 'pejabat', 'di', 'indonesia']","['amorim', 'cocok', 'sih', 'jadi', 'jabat', 'di', 'indonesia']","['amorim', 'cocok', 'sih', 'jabat', 'indonesia']"
Tt-tapi insomnia juga bagus chan smpe gue gak prnh lupa klo ada itu lagu :((,Tttapi insomnia juga bagus chan smpe gue gak prnh lupa klo ada itu lagu ,tttapi insomnia juga bagus chan smpe gue gak prnh lupa klo ada itu lagu ,"['tttapi', 'insomnia', 'juga', 'bagus', 'chan', 'smpe', 'gue', 'gak', 'prnh', 'lupa', 'klo', 'ada', 'itu', 'lagu']","['tttapi', 'insomnia', 'juga', 'bagus', 'chan', 'smpe', 'gue', 'gak', 'prnh', 'lupa', 'klo', 'ada', 'itu', 'lagu']","['tttapi', 'insomnia', 'bagus', 'chan', 'smpe', 'gue', 'gak', 'prnh', 'lupa', 'klo', 'lagu']"
jalan-jalan cari angin https://t.co/dgK23sagW7,jalanjalan cari angin ,jalanjalan cari angin ,"['jalanjalan', 'cari', 'angin']","['jalanjalan', 'cari', 'angin']","['jalanjalan', 'cari', 'angin']"
